antepast,antipasto
anterior,album
anthem,Agnus Dei
anthill,bank
anthology,Festschrift
anthrax,African lethargy
anthropoid,Bronze Age man
anthropology,anatomy
anthropomorphism,acosmism
anti Semitism,Anglophobia
anti,adversary
antibiotic,Chloromycetin
antibody,Rh factor
antic,animated
anticipate,announce
anticipating,agape
anticipation,TLC
anticipatory,agape
antidepressant,DET
antidote,alexipharmic
antigen,Rh factor
antihero,actor
antinomy,ambiguity
antipathetic,abhorrent
antipathy,Anglophobia
antiphon,Agnus Dei
antipodal,antipodean
Antipodes,Africa
antipodes,China
antipole,North Pole
antiquarian,Jonathan Oldbuck
antiquated,Gothic
antique,Gothic
antiquity,abidingness
antiseptic,Argyrol
antisocial,Timonistic
antithesis,antagonism
antithetical,adversary
antitoxin,Rh factor
antitype,antetype
antonym,antipode
anus,abdomen
anvil,Eustachian tube
anxiety,abstraction
anxious,aching
anxiously,animatedly
any old way,airily
any,a
anyhow,airily
anytime,any day
apace,PDQ
apart,a huis clos
apartheid,Jim Crow
apathetic,Laodicean
apathy,Laodiceanism
ape,Barbary ape
apercu,a priori knowledge
aperitif,Mickey
aperture,access
apex,L
aphasia,anaudia
aphorism,abridgment
aphoristic,Spartan
Aphrodite,Adonis
apish,asinine
aplenty,abounding
aplomb,assurance
apocalypse,actuarial prediction
apocalyptic,Biblical
apocryphal,Albigensian
apogee,Earth insertion
Apollo,ATDA
apologetic,abject
apologetics,Buddhology
apologia,apologetic
apologist,Maecenas
apologize,alibi
apology,abject apology
apoplexy,Jacksonian epilepsy
apostasy,Evangelicalism
apostate,Sabbath-breaker
apostatize,apostacize
apostle,Aaronic priesthood
apostolic,Biblical
apothecary,antique store
apothegm,adage
apotheosis,accolade
appall,abash
appalling,astonishing
appanage,accession
apparatus,Bunsen burner
apparel,appoint
apparent,Barmecidal
apparently,artificially
apparition,Masan
appeal to,accost
appeal,Angelus
appealing,achingly sweet
appear,act
appearance,Christophany
appease,abate
appeasement,Eisenhower Doctrine
appellation,appellative
append,add
appendage,accession
appendectomy,adenoidectomy
appendicitis,adenoiditis
appendix,PS
appertain to,affect
appertaining,a propos
appetite,Cyrenaic hedonism
appetizing,acceptable
applaud,abide by
applause,acclaim
apple polisher,ass-licker
apple polishing,ass-kissing
appliance,Charlie McCarthy
applicable,a propos
application,Ace bandage
applique,baste
apply,accouter
appoint,accouter
appointment,accession
appointments,accessories
apportion,accord
apposite,a propos
appraisal,analyzing
appraise,adjudge
appreciable,apparent
appreciably,after a fashion
appreciate,absorb
appreciation,acceptance
appreciative,acclamatory
apprehend,absorb
apprehension,IQ
apprehensive,afraid
apprentice,abecedarian
apprenticeship,basic training
apprise,acquaint
apprised of,alive to
approach,MO
approachable,accessible
approaching,about to be
approbation,John Hancock
appropriate,a propos
appropriateness,account
appropriation,abstraction
approval,John Hancock
approve,OK
approved,Christian
approximate,accost
approximately,about
approximation,access
appurtenance,accession
appurtenances,accessories
apron,L
apropos,a propos
apse,Easter sepulcher
apt to,answerable for
apt,Daedalian
aptitude test,Bernreuter personality inventory
aptitude,a thing for
aptness,appositeness
Aqua Lung,air cylinder
aquarium,Festschrift
aquatic,aqueous
aquatint,autolithograph
aqueduct,arroyo
aquiculture,algology
aquiline,Roman-nosed
Arab,Bedouin
arabesque,acciaccatura
arbiter,JP
arbitrary,absolute
arbitrate,act between
arbitrator,JP
arbor,alcove
arboreal,V-shaped
arboretum,Japanese garden
arc,AC arc
arcade,access
Arcadian,Edenic
arcane,abstract
arch,Machiavellian
archaic,Gothic
archaism,Pre-Raphaelitism
archangel,angel
archbishop,Grand Penitentiary
archbishopric,Kreis
arched,arciform
archer,Nimrod
archery,artillery
archetype,Geistesgeschichte
archetypical,antitypic
archipelago,ait
architect,a
architectural,Byzantine
architecture,Bauhaus
archives,Indian reservation
archivist,accountant
archway,French door
arctic,Siberian
ardent,abandoned
ardor,Amor
arduous,Herculean
area,place
arena,academic discipline
areola,O
Ares,Agdistis
argosy,Naval Construction Battalion
argot,Aesopian language
arguable,at issue
argue,affirm
argument,disagreement
argumentative,argumental
aria,air
arid,Saharan
Ariel,Befind
arise,accrue from
aristocracy,FFVs
aristocrat,Brahman
aristocratic,U
arithmetic,Boolean algebra
arithmetical,algebraic
ark,Agnus Dei
arm in arm,affably
arm,branch
armada,Naval Construction Battalion
armadillo,Angora goat
armament,A-weapons
armed force,armed service
armed,accoutered
armistice,Pax Dei
armor,Philistinism
armored,armed cap-a-pie
armory,achievement
arms,achievement
army,KP
aroma,atmosphere
aromatic,ambrosial
around,about
arousal,a high
arouse,aggravate
aroused,agog
arousing,aggravation
arraign,accuse
arraignment,accusal
arrange,accommodate
arranged,agreed
arrangement,Nachtmusik
arrant,abject
array,Indian file
arrayed,aligned
arrearage,arrear
arrears,arrear
arrest,Jacksonian epilepsy
arrested development,Freudian fixation
arrested,babbling
arresting,affective
arrival,advent
arrive at,accomplish
arrive,accomplish
arriviste,Babbitt
arrogance,airs
arrogant,absolute
arrogate,accroach
arrogation,accession
arrow,antelope
arsenal,ammo dump
arsenic,DDD
arsonist,annihilator
arsy varsy,a rebours
art song,Brautlied
art work,art object
art,craft
arterial,Autobahn
arteriosclerosis,angina
artery,Autobahn
Artful Dodger,Casanova
artful,Byzantine
artfulness,Gongorism
arthritic,allergic
arthritis,adenoiditis
article,accuse
articulate,Ciceronian
articulation,Indian file
artifact,affair
artifice,Gongorism
artificial,Gongoresque
artilleryman,Nimrod
artisan,Admirable Crichton
artist,Admirable Crichton
artistic,Attic
artistry,ability
artless,aboveboard
artlessness,absolute realism
as a rule,all in all
as is,actual
as it were,assumably
as long as,as
as one,all agreeing
as the crow flies,dead
as usual,as a rule
as well,above
as,ad eundem
asbestos,act drop
ascend,advance
ascendancy,Cadmean victory
ascendant,a cut above
ascending,Olympian
ascension,anabasis
ascent,Brownian movement
ascertain,afford proof of
ascertained,actual
ascetic,Albigensian
asceticism,Day of Atonement
ascorbic acid,adermin
ascribable,accountable
ascribe,accredit
Ash Wednesday,Advent
ash,alluvion
ashamed,abashed
ashen,Quaker-colored
ashes,ash
ashram,adytum
aside from,adrift
aside,a huis clos
asinine,Boeotian
ask for,abet
ask,apply for
askance,aside
askew,aberrant
asking price,advance
asleep,a stranger to
aspect,adjunct
aspen,chattering
asperity,acerbity
asperse,affront
aspersion,abuse
asphalt,Formica
asphyxiate,OD
asphyxiation,abscess
aspic,Caesar salad
aspirant,Leibnizian optimist
aspirate,breathe
aspiration,Aqua-Lung
aspire,aim
aspiring,Olympian
ass backwards,a rebours
ass,Rocky Mountain canary
assail,ambush
assailant,adversary
assassin,Cain
assault,abuse
assay,acid test
assemblage,A to Z
assemble,accouple
assembled,accumulated
assembly line,armory
assembly,British Cabinet
assemblyman,MP
assent,OK
assenting,abject
assert,advance
assertion,Parthian shot
assertive,absolute
assess,account
assessed,ad valorem
assessment,Irish dividend
assessor,Internal Revenue Service
asset,advantage
assets,Swiss bank account
asseverate,acknowledge
asshole,anus
assiduity,advertence
assiduous,advertent
assign,abalienate
assignation,abalienation
assignee,agent
assignment,abalienation
assimilate,Americanize
assimilated,Americanized
assimilation,Americanization
assist,abet
assistance,advantage
assistant,acolyte
assizes,appellate court
associate,Greek
associated,accessory
association,Anschluss
assonance,alliteration
assonant,accordant
assort,alphabetize
assorted,adapted
assortment,agglomeration
assuage,abate
assuasive,alleviating
assume,accept
assumed,accepted
assumption,a priori principle
assurance,Bible oath
assure,afford hope
assured,affianced
assuredly,OK
Astarte,Adonis
astern,a rebours
asteroid,Earth
asthma,Asiatic flu
asthmatic,breathing
astonish,affright
astonishing,amazing
astound,abash
astounded,agape
astounding,amazing
astral,Buddhic body
astray,abashed
astringency,Spartanism
astringent,Spartan
astrologer,Cassandra
astrology,Friday
astronaut,Martian
astronautics,aeronautics
astronomic,Atlantean
astronomical,Atlantean
astronomy,astrogeology
astrophysical,Cynthian
astrophysics,Newtonian physics
astute,Machiavellian
asunder,adrift
asylum,VA hospital
asymmetric,anamorphous
asymmetrical,anamorphous
asymmetry,ambiguity
asymptote,approach
at a loss,addled
at a standstill,adamant
at all,anyhow
at any cost,at all
at any rate,absolutely
at cross purposes,adversative
at ease,abed
at fault,aberrant
at hand,about
at home,affair
at issue,against the grain
at large,across the board
at length,ad infinitum
at liberty,afoot and lighthearted
at most,after a fashion
at odds,against the grain
at once,PDQ
at one,accordant
at random,aimlessly
at rest,abed
at sea,abashed
at the same time,above
at variance,against the grain
at war,against the grain
ataraxy,accidia
atavism,Mnemosyne
atavistic,aboriginal
atelier,agency
atheism,agnosticism
atheist,Sabbath-breaker
atheistic,apostate
Athena,Agdistis
atherosclerosis,angina
athlete,amateur athlete
athletic,able-bodied
athletics,Rugby
athwart,across
Atlas,Antaeus
atlas,Lambert conformal projection
atman,anima
atmosphere,action
atoll,ait
atom smashing,alpha decay
atom,element
atomic,a certain
atomism,Aristotelianism
atomization,ablation
atomize,ablate
atomizer,aerosol
atonal,absonant
atone,accord
atonement,amends
atony,adynamia
atrocious,Draconian
atrociously,abjectly
atrocity,abomination
atrophy,Sanforizing
attach,add
attache,Admirable Crichton
attached to,crazy about
attachment,Amor
attack,Jacksonian epilepsy
attain,accede
attainable,accessible
attainment,accession
attar,ambergris
attempt,accept
attend to,abide by
attend,accompany
attendance,appearance
attendant,Ganymede
attending,accessory
attention,NB
attentive,accommodating
attenuate,Sanforize
attenuated,Sanforized
attest,acknowledge
attestation,admission
attested,actual
attic,archives
Attic,Ciceronian
attire,accouter
attitude,air
attorney,MC
attract,adduct
attracted,advancing
attraction,Circean
attractive,absorbing
attributable,accountable
attribute,IC analysis
attrition,abatement
attune,accommodate
attuned,accordant
au fait,able
au pair girl,abigail
auburn,Titian
audacious,adventuresome
audacity,adventuresomeness
audible,acoustic
audience,accepter
audio frequency,AF
audit,accountancy
audition,Gedankenexperiment
auditor,Big Brother
auditorium,Elizabethan theater
auger,aculeus
aught,aggrandize
augment,add to
augmentation,accession
augur well,afford hope
augur,Cassandra
augury,adumbration
august,aristocratic
aunt,auntie
aura,air
aureole,O
auricular,acoustic
aurora,alpenglow
ausgespielt,bankrupt
auspices,abetment
auspicious,advantageous
austere,Albigensian
austerity,Albigensianism
autarchic,arbitrary
autarchy,Caesarism
auteur,MC
authentic,Christian
authenticate,OK
authenticated,accepted
authenticity,absolute realism
author,actor
authoritarian,Spartan
authoritative,Christian
authorities,John Bull
authority,Admirable Crichton
authorization,John Hancock
authorize,OK
authorized,absolute
authorship,artistry
autism,acquisitiveness
autistic,Barmecidal
auto,PCV valve
autobiography,Clio
autochthonous,abecedarian
autocrat,Simon Legree
autocratic,absolute
autodidactic,bookish
autoeroticism,active algolagnia
autograph,John Hancock
automat,beanery
automated,automatic
automatic writing,Ouija
automatic,accordant
automatism,Ouija
automobile,PCV valve
autonomous,absolute
